post_id,column,rule,old_value,new_value
nap5vkbmyrys,*row*,drop_exact_duplicate,raw line 1174,removed
b9ugpuguyqpr,*row*,drop_exact_duplicate,raw line 1254,removed
ke676kwztzs9,*row*,drop_exact_duplicate,raw line 1470,removed
v3q8wgq6f29o,*row*,drop_exact_duplicate,raw line 1482,removed
t4e0fv8qmu9q,*row*,drop_exact_duplicate,raw line 1574,removed
25ftpd4tgx82,*row*,drop_exact_duplicate,raw line 1583,removed
yzkk0pwvxs0c,*row*,drop_exact_duplicate,raw line 1589,removed
18872bs3czdy,*row*,drop_exact_duplicate,raw line 1599,removed
do7er5bxtgtz,*row*,drop_exact_duplicate,raw line 1837,removed
h6brolon3dis,*row*,drop_exact_duplicate,raw line 1869,removed
l9kalme8ffnj,*row*,drop_exact_duplicate,raw line 1915,removed
drb9cq0guxgb,*row*,drop_exact_duplicate,raw line 2346,removed
fq1f59hr225j,*row*,drop_exact_duplicate,raw line 2378,removed
7f0wdauzbj89,*row*,drop_exact_duplicate,raw line 2492,removed
2ljlmyjy0nhs,*row*,drop_exact_duplicate,raw line 2594,removed
8lwoycpz2q3z,*row*,drop_exact_duplicate,raw line 2747,removed
0i1lmtupfhd9,*row*,drop_exact_duplicate,raw line 2762,removed
yejf1ylpklty,*row*,drop_exact_duplicate,raw line 2798,removed
1v03bvenbvqp,*row*,drop_exact_duplicate,raw line 2837,removed
q87yoefubrpm,*row*,drop_exact_duplicate,raw line 2964,removed
9nb0rprqf15i,*row*,drop_exact_duplicate,raw line 3122,removed
mwynni2beuia,*row*,drop_exact_duplicate,raw line 3202,removed
jdu1id7iuvde,*row*,drop_exact_duplicate,raw line 3301,removed
smew4fsm6uln,*row*,drop_exact_duplicate,raw line 3402,removed
x8m7b1rua3yl,*row*,drop_exact_duplicate,raw line 3510,removed
1ql0l3q98lsq,*row*,drop_exact_duplicate,raw line 3531,removed
os3fkm7lya3j,*row*,drop_exact_duplicate,raw line 3545,removed
drh3zmhet7g5,*row*,drop_exact_duplicate,raw line 3639,removed
y9ckyr95dg8m,*row*,drop_exact_duplicate,raw line 3645,removed
y09rzud8nhjn,*row*,drop_exact_duplicate,raw line 3664,removed
kd9eh6jvfnzy,*row*,drop_exact_duplicate,raw line 3720,removed
11tqzysq0g7q,*row*,drop_exact_duplicate,raw line 3810,removed
uvxi6g5obkzx,*row*,drop_exact_duplicate,raw line 3842,removed
qwgbgp2pe58x,*row*,drop_exact_duplicate,raw line 3881,removed
r5jseevvr3vx,*row*,drop_exact_duplicate,raw line 3903,removed
uup4241uj429,*row*,drop_exact_duplicate,raw line 3964,removed
06h8cm4e5ouf,*row*,drop_exact_duplicate,raw line 3985,removed
z3bihkb3mppl,*row*,drop_exact_duplicate,raw line 3999,removed
3allydzfr9v8,*row*,drop_exact_duplicate,raw line 4103,removed
c2wqnafxy3xr,*row*,drop_exact_duplicate,raw line 4265,removed
8wnlc61xulry,*row*,drop_exact_duplicate,raw line 4319,removed
68ffbw0qwcuu,*row*,drop_exact_duplicate,raw line 4375,removed
r87xg7eu1npn,*row*,drop_exact_duplicate,raw line 4424,removed
jpncmhv93e5q,*row*,drop_exact_duplicate,raw line 4490,removed
8mf0pwf3qdyd,*row*,drop_exact_duplicate,raw line 4597,removed
0qfon1cnow84,*row*,drop_exact_duplicate,raw line 4625,removed
qtd701khcy23,*row*,drop_exact_duplicate,raw line 4711,removed
azteiv4jlv7q,*row*,drop_exact_duplicate,raw line 4778,removed
thsb2hnmwk3k,*row*,drop_exact_duplicate,raw line 4781,removed
ckcf7hpxz3gk,*row*,drop_exact_duplicate,raw line 4845,removed
b5y3f8nm1n4u,*row*,drop_exact_duplicate,raw line 4855,removed
i950rc7lw1gr,*row*,drop_exact_duplicate,raw line 4925,removed
