text_id,post_text,actual,predicted,confidence
TXT_05924,"Google+ may have thrown in the social media towel, but it still has great features. Here's 6!  via @user",Feature_Feedback,Community_Discussion,0.996
TXT_04027,Planned Parenthood is WORLDWIDE. They have been Killing our babies by DESIGN as the plan was to send in #illegals / #refugees from 3rd world,Feature_Feedback,Community_Discussion,0.995
TXT_08669,@user @user -__- shid i may not be able 2 take screenshots of it but everybody @user me. Peyton Siva kik'd me this morn #NoLie,Technical_Issues,Community_Discussion,0.977
TXT_00194,Why oh why does Toronto's Nuit Blanche have to be the same night as a wedding I have to attend?!? #snbTO,Feature_Feedback,Community_Discussion,0.973
TXT_02752,"""Alabama : Trent Richardson on cover of SI:  The junior running back is featured on the August 22 issue, alongsid...",Feature_Feedback,Community_Discussion,0.966
TXT_00079,bloodymary - hackers nirvana - smell like teen spirit butterfingers - nicotine feeder - 7 days in the sun smashing pumpkins - bullets with..,Account_Security,Community_Discussion,0.958
TXT_08801,"The 4th, the Nokia 5530 XpressMusic. Fact: This have an Stylus. Used to hate Touchscreens on cellphones before this",Technical_Issues,Community_Discussion,0.954
TXT_04445,Updating tomorrow but I won't be on twitter much. I love you all and stay Gucci if you need me text me. @user @user,Community_Discussion,Technical_Issues,0.952
TXT_04377,if i sat beside niall i would be so annoyed bc he looks like he chews his gum annoyingly loud,Community_Discussion,Feature_Feedback,0.932
TXT_01508,So Carly Fiorina is going to crash and burn. @user  #WakeUpAmerica ....NEXT...,Technical_Issues,Community_Discussion,0.909
TXT_04386,All the Stone Brewing verticals will be featured on tap tomorrow at @user,Feature_Feedback,Community_Discussion,0.898
TXT_06225,Seems my new iPod doesn\u2019t like Kasabian very much- laptop has crashed every time it\u2019s got to syncing Empire. 10th time lucky...,Technical_Issues,Community_Discussion,0.8
TXT_06679,"""Contraband on Blue Ray = $15 1st Season of Martin = $10 Sidney Poitier \""""in the heat of the night\"""" = $5 @ PS3",Account_Security,Community_Discussion,0.8
TXT_00067,Niall faced serious bullying problems as a kid. He got suspended in the 3rd grade for swinging when somebody called him ugly,Account_Security,Feature_Feedback,0.728
TXT_02138,"Did it EVER occur to anyone Monsanto may be executing honey bees w/ poison ""ROUND UP"" to CONTROL food supply by limiting natural foods??",Community_Discussion,Technical_Issues,0.682
TXT_00239,"""http://t.co/JJVDi4lW Wednesday's Featured Property of the Day is Knollwood Place Apartments, in...",Feature_Feedback,Community_Discussion,0.638
TXT_05701,Jennifer Lawrence arriving back at LAX airport after being in the UK for the BFI screening of Serena (OCT 13TH),Technical_Issues,Community_Discussion,0.629
TXT_07015,"""Moderate-heavier rain moving toward Racine...should be dry for the 6th Annual St. Patrick's Day Parade though, starts @ 12!  Bring sunscreen""",Technical_Issues,Feature_Feedback,0.604
TXT_07666,"""Moderate-heavier rain moving toward Racine...should be dry for the 6th Annual St. Patrick's Day Parade though, starts @ 12!  Bring sunscreen""",Technical_Issues,Feature_Feedback,0.604
TXT_00758,Props to @user for an awesome Screen on the Green event with Jurassic World! Great turnout on a Friday!!,Technical_Issues,Community_Discussion,0.549
TXT_04787,Nuit Blanche is this weekend and with it comes seeing people I miss a lot. WHY ISN'T IT SATURDAY YET?!?! #fb,Feature_Feedback,Community_Discussion,0.544
TXT_02507,Replacing the screen on the Nokia 1020 went.... badly. Luckily new phone arrives tomorrow!,Technical_Issues,Community_Discussion,0.519
TXT_02802,"The last known person on planet earth to own a Nokia button phone, my mother, got an iPhone on Friday. A 73 yo played with Spotify today.",Feature_Feedback,Technical_Issues,0.461
TXT_04673,"The last known person on planet earth to own a Nokia button phone, my mother, got an iPhone on Friday. A 73 yo played with Spotify today.",Feature_Feedback,Technical_Issues,0.461
TXT_08554,"The last known person on planet earth to own a Nokia button phone, my mother, got an iPhone on Friday. A 73 yo played with Spotify today.",Feature_Feedback,Technical_Issues,0.461
