text_id,post_text,actual,predicted,confidence
TXT_06753,Hot Mess Monday! I'm feeling it! #runninglate #crazyday #blah #happymonday #lovemylife,Negative,Positive,0.924
TXT_06993,"""If it weren't for Christians, the Aztecs would never have stopped killing babies (like Planned Parenthood does.)",Neutral,Negative,0.905
TXT_03063,Josh Hamilton hit a two run homer in 2011 WS in the 10th with a sports hernia. If anyone with any decent fielding skills catches the ball...,Positive,Neutral,0.898
TXT_00557,In rugby news\u002c @user are winning 26-5 at Cobham\u002c with the four-try bonus point in the bag. See The Monday Gazette for a full report.,Positive,Neutral,0.88
TXT_00322,"""Should've went to watch Paper Towns first, I'll just go see it tomorrow""",Neutral,Positive,0.878
TXT_01979,June 7-8 Red Sox at Giants. Who's down to go and boo from the 3rd baseline?,Negative,Neutral,0.87
TXT_08196,When Kanye West told George Bush that Black Lives Matter...As much as I may not like him. It was the TRUTH!,Neutral,Negative,0.866
TXT_05848,Kerry hopeful Israeli-Palestinian talks can be relaunched: US Secretary of State John Kerry said Wednesday he ...,Positive,Neutral,0.864
TXT_01236,Kerry hopeful Israeli-Palestinian talks can be relaunched: US Secretary of State John Kerry said Wednesday he ...,Positive,Neutral,0.864
TXT_04972,@user @user CAITLYN Jenner may have saved/helped mils of trans people around the globe.why can't you just be happy for her?,Neutral,Negative,0.861
TXT_08048,Transgender is a difficult subject but it has been timed well with the Caitlyn Jenner thing so that may give it some appeal.,Positive,Negative,0.85
TXT_05708,@user is this one of your little jokes like Elvis playing at the Marquee  next Tuesday?,Negative,Neutral,0.848
TXT_07953,LIVE: Sunderland v Newcastle: It may not have the glamour of El Clasico or the title implications of the Manches...,Negative,Neutral,0.848
TXT_08172,"""in 8th grade, i was dead ready to fight niggas for saying Frank Ocean was gay bc like....he's bi. n apparently people can't get it through""",Neutral,Negative,0.841
TXT_00287,@user @user @user the States ensured SCOTUS could take this action by enacting 14th Amendment,Neutral,Negative,0.835
TXT_04696,@user @user @user the States ensured SCOTUS could take this action by enacting 14th Amendment,Neutral,Negative,0.835
TXT_01591,"""Was going to play DA but man I'm so fucking tired I may just go the fuck to bed. But Twilight is up to 22k, yay ^_^""",Neutral,Negative,0.833
TXT_05413,2103: 'We don't need governments to make peace': Israel gets unofficial Iranian ... - The Guardian (blog),Neutral,Negative,0.833
TXT_02209,28 January 2016 - Workshop in Milan - Digital Transformation the door to success!,Positive,Neutral,0.832
TXT_00621,David Wright grounds out in the 9th. Was 2-for-5 today.,Negative,Neutral,0.829
TXT_01742,"""Have y'all ever just sat and listened to Frank Ocean's """"Crack Rock""""? The shit is mad deep.""",Positive,Negative,0.826
TXT_08248,#WorldSeries #Mlb #Fox #Fs1 #Kc #metsvsroyals I wonder how many kids will be #Thor tomorrow night ..Thor with a #Mets Hat ON ;),Neutral,Positive,0.82
TXT_08046,Mansbridge interview with Trudeau may not have been a classic but I did find Justin believable. And I dont feel like I need a shower #elxn42,Neutral,Negative,0.819
TXT_02366,Mansbridge interview with Trudeau may not have been a classic but I did find Justin believable. And I dont feel like I need a shower #elxn42,Neutral,Negative,0.819
TXT_07359,I want to see Shawn tomorrow :((((,Neutral,Negative,0.817
TXT_06136,"@user With this sweet and sudden u-turn frin Israel, don't we all understand how the term """"doenmeah"""" was coined in the 1st place?""",Positive,Negative,0.816
