user_id,location,follower_count,post_count,posts_with_engagement,avg_engagement,total_engagement,percentile_rank
user_fgjkkrie,"Lyon, France",2211,14,14,4477.86,62690,99.73
user_uerv85na,"Rome, Italy",1824,16,13,4527.77,58861,99.07
user_hdas0iau,"Rio de Janeiro, Brazil",1620,16,14,3937.0,55118,98.33
user_r7eg1rac,"Houston, USA",2052,12,12,4546.0,54552,98.13
user_6wra58f7,"Johannesburg, South Africa",4953,14,13,4122.08,53587,97.87
user_kbdvf8d6,"Tokyo, Japan",4645,10,10,4849.0,48490,96.0
user_67hyf45u,"Vancouver, Canada",898,11,10,4762.7,47627,95.2
user_5oe5t3js,"London, UK",3151,13,11,4316.45,47481,95.13
user_cqaitbuv,"Johannesburg, South Africa",3382,11,10,4740.3,47403,95.0
user_rr1uzkql,"Milan, Italy",1069,14,12,3909.33,46912,94.53
user_n0ok02rt,"Dubai, UAE",2531,18,14,3324.0,46536,94.26
user_0aacyvtz,"Rome, Italy",1452,11,10,4466.7,44667,93.06
user_hvqqyzoi,"Melbourne, Australia",3213,12,11,3983.64,43820,92.06
user_06v0exkg,"Barcelona, Spain",552,12,11,3969.91,43669,91.79
user_txrypced,"Rome, Italy",2479,10,10,4289.6,42896,91.06
